[0.030s] Invoking command in '/home/ubuntu/robotis_ws/build/open_manipulator_msgs': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/ubuntu/robotis_ws/build/open_manipulator_msgs -- -j8 -l8
[0.134s] [  1%] Built target open_manipulator_msgs__cpp
[0.144s] [ 12%] Built target open_manipulator_msgs__rosidl_generator_c
[0.169s] [ 12%] Built target ament_cmake_python_symlink_open_manipulator_msgs
[0.216s] [ 24%] Built target open_manipulator_msgs__rosidl_typesupport_cpp
[0.250s] [ 35%] Built target open_manipulator_msgs__rosidl_typesupport_fastrtps_c
[0.253s] [ 47%] Built target open_manipulator_msgs__rosidl_typesupport_introspection_c
[0.258s] [ 58%] Built target open_manipulator_msgs__rosidl_typesupport_fastrtps_cpp
[0.267s] [ 70%] Built target open_manipulator_msgs__rosidl_typesupport_introspection_cpp
[0.273s] [ 82%] Built target open_manipulator_msgs__rosidl_typesupport_c
[0.309s] [ 82%] Built target open_manipulator_msgs
[0.356s] [ 83%] Built target open_manipulator_msgs__py
[0.410s] [ 93%] Built target open_manipulator_msgs__rosidl_generator_py
[0.450s] [ 95%] Built target open_manipulator_msgs__rosidl_typesupport_introspection_c__pyext
[0.453s] [ 97%] Built target open_manipulator_msgs__rosidl_typesupport_fastrtps_c__pyext
[0.456s] [100%] Built target open_manipulator_msgs__rosidl_typesupport_c__pyext
[0.673s] running egg_info
[0.674s] writing open_manipulator_msgs.egg-info/PKG-INFO
[0.675s] writing dependency_links to open_manipulator_msgs.egg-info/dependency_links.txt
[0.675s] writing top-level names to open_manipulator_msgs.egg-info/top_level.txt
[0.679s] reading manifest file 'open_manipulator_msgs.egg-info/SOURCES.txt'
[0.679s] writing manifest file 'open_manipulator_msgs.egg-info/SOURCES.txt'
[0.726s] [100%] Built target ament_cmake_python_build_open_manipulator_msgs_egg
[0.766s] Invoked command in '/home/ubuntu/robotis_ws/build/open_manipulator_msgs' returned '0': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --build /home/ubuntu/robotis_ws/build/open_manipulator_msgs -- -j8 -l8
[1.076s] Invoking command in '/home/ubuntu/robotis_ws/build/open_manipulator_msgs': CMAKE_PREFIX_PATH=/opt/ros/humble /usr/bin/cmake --install /home/ubuntu/robotis_ws/build/open_manipulator_msgs
[1.086s] -- Install configuration: ""
[1.087s] -- Execute custom install script
[1.087s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_msgs/share/ament_index/resource_index/rosidl_interfaces/open_manipulator_msgs
[1.088s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_msgs/include/open_manipulator_msgs/open_manipulator_msgs/msg/detail/joint_position__functions.h
[1.088s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_msgs/include/open_manipulator_msgs/open_manipulator_msgs/msg/detail/joint_position__struct.h
[1.088s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_msgs/include/open_manipulator_msgs/open_manipulator_msgs/msg/detail/joint_position__type_support.h
[1.088s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_msgs/include/open_manipulator_msgs/open_manipulator_msgs/msg/detail/kinematics_pose__functions.h
[1.089s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_msgs/include/open_manipulator_msgs/open_manipulator_msgs/msg/detail/kinematics_pose__struct.h
[1.089s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_msgs/include/open_manipulator_msgs/open_manipulator_msgs/msg/detail/kinematics_pose__type_support.h
[1.089s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_msgs/include/open_manipulator_msgs/open_manipulator_msgs/msg/detail/open_manipulator_state__functions.h
[1.089s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_msgs/include/open_manipulator_msgs/open_manipulator_msgs/msg/detail/open_manipulator_state__struct.h
[1.089s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_msgs/include/open_manipulator_msgs/open_manipulator_msgs/msg/detail/open_manipulator_state__type_support.h
[1.090s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_msgs/include/open_manipulator_msgs/open_manipulator_msgs/msg/joint_position.h
[1.090s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_msgs/include/open_manipulator_msgs/open_manipulator_msgs/msg/kinematics_pose.h
[1.090s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_msgs/include/open_manipulator_msgs/open_manipulator_msgs/msg/open_manipulator_state.h
[1.090s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_msgs/include/open_manipulator_msgs/open_manipulator_msgs/msg/rosidl_generator_c__visibility_control.h
[1.090s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_msgs/include/open_manipulator_msgs/open_manipulator_msgs/srv/detail/get_joint_position__functions.h
[1.091s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_msgs/include/open_manipulator_msgs/open_manipulator_msgs/srv/detail/get_joint_position__struct.h
[1.091s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_msgs/include/open_manipulator_msgs/open_manipulator_msgs/srv/detail/get_joint_position__type_support.h
[1.091s] -- Up-to-date symlink: /home/ubuntu/robotis_ws/install/open_manipulator_msgs/include/open_manipulator_msgs/open_manipulator_msgs/srv/detail/get_kinematics_pose__functions.h
